name;sku;subtitle;description;category1;category2;category3;image;ribbon;ribbonColor;weight;price;recommended_price;quantity;enabled;taxClassCode;shipping_freight;fixed_shipping_rate_only;shippingType;shippingMethodMarkup;shippingFlatRate;shippingDisabledMethods;shippingEnabledMethods;upc;brand;seo_title;seo_description;product_url;product_id
Viel Glück und viel Segen;164pb-0571;Playback;<p>Wer die Melodie hört, weiß gleich, worum es geht. Dieser Klassiker wird nicht nur von und mit Kindern gesungen. Auch bei den Erwachsenen wird dieser Geburtstagskanon oft angestimmt und sorgt für Freude bei allen Beteiligten.</p><ul><li><em>Tonart: G-Dur</em></li><li><em>Stimmumfang: c1 - c2</em></li><li><em>Level: einfach</em></li><li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li></ul><h5>Stichworte</h5><p>Geburtstag, Jahreszeit, Feier, Viel Glück, viel Segen, Kanon</p>;Material für deinen Musikunterricht / Playbacks;Musik für Zuhause / Playbacks;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510787833.jpg;;;;4.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Viel Glück und viel Segen |🎤Playback | minimusiker.de;auf all deinen Wegen. Gesundheit und Frohsinn sei auch mit dabei🎵Musik für Kinder ♥ Jetzt Playback im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Viel-Gluck-und-viel-Segen/p/253644501;253644501
Viel Glück und viel Segen;164s-0570;Song;"<p>Wer die Melodie hört, weiß gleich, worum es geht. Dieser Klassiker wird nicht nur von und mit Kindern gesungen. Auch bei den Erwachsenen wird dieser Geburtstagskanon oft angestimmt und sorgt für Freude bei allen Beteiligten.
</p><ul>
	<li><em>Tonart: G-Dur</em></li>
	<li><em>Stimmumfang: c1 - c2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/vielglueck.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Geburtstag, Jahreszeit, Feier, Viel Glück, viel Segen, Kanon
</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510782860.jpg;;;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Viel Glück und viel Segen |🎵Kinderlied | minimusiker.de;Viel Glück und viel Segen auf all deinen Wegen, Gesundheit und Froh... ♥ Musik für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/Viel-Gluck-und-viel-Segen/p/253644655;253644655
Viel Glück und viel Segen;164t-0573;Text;"<p>Wer die Melodie hört, weiß gleich, worum es geht. Dieser Klassiker wird nicht nur von und mit Kindern gesungen. Auch bei den Erwachsenen wird dieser Geburtstagskanon oft angestimmt und sorgt für Freude bei allen Beteiligten.
</p><ul>
	<li><em>Tonart: G-Dur</em></li>
	<li><em>Stimmumfang: c1 - c2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/vielglueck.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Geburtstag, Jahreszeit, Feier, Viel Glück, viel Segen, Kanon
</p>";Material für deinen Musikunterricht / Texte;Musik für Zuhause / Songtexte;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510772895.jpg;;;;0.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Viel Glück und viel Segen |📝Text | minimusiker.de;... auf all deinen Wegen ...🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Viel-Gluck-und-viel-Segen/p/253644791;253644791
Vom Himmel hoch, da komm ich her;191n-0328;Noten;;Material für deinen Musikunterricht / Noten+;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510747861.jpg;;;;2.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Vom Himmel hoch da komm ich her |🎼Noten | minimusiker.de;Euch ist ein Kindlein heut geboren...🎄Weihnachtslieder für Kinder ♥ Jetzt Noten im Minimusiker Shop runterladen und selber musizieren! ♫;https://minimusiker.de/shop/#!/Vom-Himmel-hoch-da-komm-ich-her/p/253644304;253644304
Vom Himmel hoch, da komm ich her;191pb-0327;Playback;"<p>Um 1539 wurde dieses Weihnachtlied ""veröffentlicht"". Es stammt von Martin Luther und ist ein richtig altes Schätzchen. Gesungen wird es heuer noch und da merkt man wieder, das altes Liedgut nicht an popularität verliert. Wir haben es neu aufgelegt und präsentieren diese schöne Version. Viel Spaß beim hören.
</p><ul>
	<li><em>Tonart: A-Dur</em></li>
	<li><em>Stimmumfang: a - a1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Stichworte</h5><p>Klassiker, Vom Himmel, Weihnachten, Winter, Feier, Kindlein, geboren
</p>";Material für deinen Musikunterricht / Playbacks;Musik für Zuhause / Playbacks;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510742147.jpg;;;;4.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Vom Himmel hoch, da komm ich her |🎤Playback | minimusiker.de;...ich bring gute, neue Mär...🎄Weihnachtslieder für Kinder ♥ Jetzt Playback im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Vom-Himmel-hoch-da-komm-ich-her/p/253644441;253644441
Vom Himmel hoch, da komm ich her;191s-0326;Song;"<p>Um 1539 wurde dieses Weihnachtlied ""veröffentlicht"". Es stammt von Martin Luther und ist ein richtig altes Schätzchen. Gesungen wird es heuer noch und da merkt man wieder, das altes Liedgut nicht an popularität verliert. Wir haben es neu aufgelegt und präsentieren diese schöne Version. Viel Spaß beim hören.
</p><ul>
	<li><em>Tonart: A-Dur</em></li>
	<li><em>Stimmumfang: a - a1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/vomhimmelhochdakommichher.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Klassiker, Vom Himmel, Weihnachten, Winter, Feier, Kindlein, geboren
</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510747846.jpg;;;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Vom Himmel hoch, da komm ich her |🎄Kinderlied | minimusiker.de;Der guten Mär bring ich so viel. Davon ich sing und sagen will♥ Weihnachtslieder für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen!♫;https://minimusiker.de/shop/#!/Vom-Himmel-hoch-da-komm-ich-her/p/253644595;253644595
Vom Himmel hoch, da komm ich her;191t-0329;Text;"<p>Um 1539 wurde dieses Weihnachtlied ""veröffentlicht"". Es stammt von Martin Luther und ist ein richtig altes Schätzchen. Gesungen wird es heuer noch und da merkt man wieder, das altes Liedgut nicht an popularität verliert. Wir haben es neu aufgelegt und präsentieren diese schöne Version. Viel Spaß beim hören.
</p><ul>
	<li><em>Tonart: A-Dur</em></li>
	<li><em>Stimmumfang: a - a1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/vomhimmelhochdakommichher.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Klassiker, Vom Himmel, Weihnachten, Winter, Feier, Kindlein, geboren
</p>";Musik für Zuhause / Songtexte;Material für deinen Musikunterricht / Texte;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2510744113.jpg;;;;0.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Vom Himmel hoch, da komm ich her |📝Text | minimusiker.de;...ich bring euch gute neue Mär ... 🎄Weihnachtslieder für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Vom-Himmel-hoch-da-komm-ich-her/p/253644731;253644731
Weihnachtslieder;ton04-0691;Jetzt mit Musik von den Minimusikern;"<p>Die beliebten Weihnachtslieder als Neuauflage mit Liedern, die euch das Warten auf’s Fest versüßen. Ob “Fröhliche Weihnacht überall” oder “Alle Jahre wieder” – wir haben die Inhalte des Weihnachtslieder-Tonies neu interpretiert. Damit wird die Adventszeit musikalisch gleich doppelt so schön.<br>
</p>
<h5>Hörprobe</h5>
<p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">	<source src=""https://www.hoerthin.de/audiovorschau/weihnachtslieder_snippet.mp3"" type=""audio/mpeg"">	</audio><br>
</p>
<h5>Liederliste
</h5>
<p>Fröhliche Weihnacht überall / Lasst uns froh und munter sein / In der Weiihnachtsbäckerei / A, a, a, der Winter ist da / Schneeflöckchen, Weißröckchen / Juchhe, der erste Schnee / Schneeflöckchen tanze / Alle Jahre wieder / Leise rieselt der Schnee / Ihr Kinderlein kommet / Es ist ein Ros entsprungen / Kling, Glöckchen, klingeling / Macht hoch die Tür / Morgen Kinder wird's was geben / Stille, stille kein Geräusch gemacht / O Tannenbaum / Eine Muh, eine Mäh, eine Täterä / Am Weihnachtsbaum die Lichter brennen / In einem kleine Apfel / Süßer die Glocken nie klingen / Vom Himmel hoch, da komm ich her / Tochter Zion / Oh, du Fröhliche! / Stille Nacht, heilige Nacht
</p>";Musik für Zuhause / CDs + Tonies;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2761413714.jpg;Tipp!;#FCA726;0.00;14.99;;22;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Weihnachtslieder - Tonie |🎄Kinderlieder | minimusiker.de;♡ Weihnachtslieder-Tonie ♡ Lieblingslieder für Kinder ♡ Jetzt Tonie im Minimusiker Shop kaufen und kräftig mitsingen! 🎵 nur 3€ Versand ✔;https://minimusiker.de/shop/#!/Weihnachtslieder/p/389478434;389478434
Weißt du wieviel Sternlein stehen;166n-0144;Noten;"<p>Dieses wunderschöne Volkslied kommt im neuen Gewand daher. Ein schönes Schlaflied mit einer eingängigen Melodie, die aber nicht ganz so einfach für jüngere Kinder ist. Augen zu und losgeträumt...
</p><ul>
	<li><em>Tonart: D-Dur</em></li>
	<li><em>Stimmumfang: d1 - b1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/weisstduwievielsternleinstehen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Sterne, Abend, einschlafen, träumen, Wolken, Bett, Klassiker
</p>";Material für deinen Musikunterricht / Noten+;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2558106945.jpg;;;;2.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Weisst du wieviel Sternlein stehen |🎼Noten | minimusiker.de;... an dem blauen Himmelszeit? ... 🎵Musik für Kinder ♥ Jetzt Noten im Minimusiker Shop runterladen und selber musizieren! ♫;https://minimusiker.de/shop/#!/Weisst-du-wieviel-Sternlein-stehen/p/253644258;253644258
Weißt du wieviel Sternlein stehen;166s-0142;Song;"<p>Dieses wunderschöne Volkslied kommt im neuen Gewand daher. Ein schönes Schlaflied mit einer eingängigen Melodie, die aber nicht ganz so einfach für jüngere Kinder ist. Augen zu und losgeträumt...
</p><ul>
	<li><em>Tonart: D-Dur</em></li>
	<li><em>Stimmumfang: d1 - b1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/weisstduwievielsternleinstehen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Sterne, Abend, einschlafen, träumen, Wolken, Bett, Klassiker
</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2558104672.jpg;;;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Weisst du wieviel Sternlein stehen |🎵Kinderlied | minimusiker.de;... an dem blauen Himmelszelt? ♥ Musik für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/Weisst-du-wieviel-Sternlein-stehen/p/253644549;253644549
Weißt du wieviel Sternlein stehen;166t-0145;Text;"<p>Dieses wunderschöne Volkslied kommt im neuen Gewand daher. Ein schönes Schlaflied mit einer eingängigen Melodie, die aber nicht ganz so einfach für jüngere Kinder ist. Augen zu und losgeträumt...
</p><ul>
	<li><em>Tonart: D-Dur</em></li>
	<li><em>Stimmumfang: d1 - b1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
<li><em>Geeignet für: 3.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/weisstduwievielsternleinstehen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Sterne, Abend, einschlafen, träumen, Wolken, Bett, Klassiker
</p>";Material für deinen Musikunterricht / Texte;Musik für Zuhause / Songtexte;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2558125809.jpg;;;;0.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Weisst du wieviel Sternlein stehen |📝Text | minimusiker.de;... an dem blauen Himmelszelt?🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Weisst-du-wieviel-Sternlein-stehen/p/253644685;253644685
Wenn du bei mir bist;225t-0809;Text;"<p>""Wenn du bei mir bist"" mache ich mir keine Sorgen, und freu mich jeden Tag auf morgen.<br></p><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/wenndubeimirbist.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Gemeinsam, fest drücken, keine Sorgen, Trost<br></p>";Musik für Zuhause / Songtexte;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2907198670.jpg;NEU!!!;#7091DA;;0.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Wenn du bei mir bist |📝Text | minimusiker.de;... sind wir nicht mehr allein. 🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Wenn-du-bei-mir-bist/p/439668086;439668086
Wenn du bei mir bist;225s-0806;Song;"<p ""="""">""Wenn du bei mir bist"" mache ich mir keine Sorgen, und freu mich jeden Tag auf morgen.</p><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/wenndubeimirbist.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p ""="""">Gemeinsam, fest drücken, keine Sorgen, Trost</p>";Musik für Zuhause / Songs;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2907063971.jpg;NEU!!!;#7091DA;;1.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Wenn du bei mir bist |🎵Kinderlied | minimusiker.de;...sind wir nicht mehr allein. ♥ Musik für Kinder ♥ Lieder für dich 2 ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/Wenn-du-bei-mir-bist/p/439670509;439670509
Wenn ich du wär;211s-0750;Song;"<p ""="""">Schon mal eine Mutprobe ausprobiert? Wir schon, und haben uns dabei ziemlich blamiert. Das hat aber auch Spaß gemacht und schweißt zusammen.</p><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/wennichduwaer.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p ""="""">Quatsch, Spaß, Mutprobe, was Neues ausprobieren</p>";Musik für Zuhause / Songs;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2907029072.jpg;NEU!!!;#7091DA;;1.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Wenn ich du wär |🎵Kinderlied | minimusiker.de;Heute hab ich mir was Neues für dich ausgedacht ♥ Musik für Kinder ♥ Lieder für dich 2 ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/Wenn-ich-du-war/p/439603269;439603269
Wenn ich du wär;211t-0753;Text;"<p>Schon mal eine Mutprobe ausprobiert? Wir schon, und haben uns dabei ziemlich blamiert. Das hat aber auch Spaß gemacht und schweißt zusammen.</p><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/wennichduwaer.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Quatsch, Spaß, Mutprobe, was Neues ausprobieren<br></p>";Musik für Zuhause / Songtexte;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2907189900.jpg;NEU!!!;#7091DA;;0.0;;;no;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;Wenn ich du wär |📝Text | minimusiker.de;Heute hab ich mir was Neues für dich ausgedacht 🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/Wenn-ich-du-war/p/439666328;439666328
